,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90
383,25-2010,Preschool and Kindergarten Teachers,broad,555680,1.1,19.26,40070.0,1.0,10.31,12.27,16.33,23.95,32.6,21440,25510,33970,49820,67800
384,25-2011,"Preschool Teachers, Except Special Education",detailed,424520,1.3,16.54,34410.0,1.5,9.91,11.56,14.32,18.78,26.61,20610,24040,29780,39060,55350
399,25-3000,Other Teachers and Instructors,minor,1203570,1.0,19.35,40250.0,0.7,9.45,11.66,15.89,23.29,33.09,19660,24260,33050,48440,68820
400,25-3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,broad,57750,7.4,27.94,58110.0,1.5,15.56,20.29,25.79,34.14,43.13,32370,42200,53630,71010,89710
401,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,57750,7.4,27.94,58110.0,1.5,15.56,20.29,25.79,34.14,43.13,32370,42200,53630,71010,89710
402,25-3020,Self-Enrichment Education Teachers,broad,243080,1.5,21.62,44960.0,0.8,10.01,12.87,18.62,27.11,37.39,20820,26760,38720,56390,77770
403,25-3021,Self-Enrichment Education Teachers,detailed,243080,1.5,21.62,44960.0,0.8,10.01,12.87,18.62,27.11,37.39,20820,26760,38720,56390,77770
404,25-3090,Miscellaneous Teachers and Instructors,broad,902740,1.1,18.19,37840.0,0.9,9.3,11.31,14.83,21.13,30.17,19350,23530,30850,43950,62760
406,25-3098,Substitute Teachers,detailed,587240,1.5,15.56,32360.0,1.3,9.06,10.82,13.79,17.95,23.34,18850,22510,28680,37340,48540
407,25-4000,"Librarians, Curators, and Archivists",minor,246200,1.0,24.66,51290.0,0.5,11.72,16.2,23.08,30.78,39.38,24380,33690,48020,64010,81910
408,25-4010,"Archivists, Curators, and Museum Technicians",broad,31760,2.4,25.61,53280.0,0.9,13.07,17.25,23.27,31.4,41.58,27190,35890,48400,65310,86480
409,25-4011,Archivists,detailed,6370,5.1,27.12,56400.0,1.5,14.63,18.31,25.11,34.25,43.67,30440,38090,52240,71250,90830
410,25-4012,Curators,detailed,12280,3.4,28.12,58490.0,1.1,13.95,19.03,25.86,35.02,45.35,29010,39580,53780,72830,94330
411,25-4013,Museum Technicians and Conservators,detailed,13100,3.3,22.53,46870.0,1.4,12.22,15.66,20.68,27.27,35.98,25430,32580,43020,56730,74840
412,25-4020,Librarians,broad,125750,1.0,29.58,61530.0,0.4,16.65,22.18,28.39,35.93,44.74,34630,46130,59050,74740,93050
413,25-4021,Librarians,detailed,125750,1.0,29.58,61530.0,0.4,16.65,22.18,28.39,35.93,44.74,34630,46130,59050,74740,93050
414,25-4030,Library Technicians,broad,88690,1.5,17.34,36080.0,0.6,10.26,12.28,16.37,21.47,26.4,21350,25550,34040,44670,54910
415,25-4031,Library Technicians,detailed,88690,1.5,17.34,36080.0,0.6,10.26,12.28,16.37,21.47,26.4,21350,25550,34040,44670,54910
417,25-9010,Audio-Visual and Multimedia Collections Specialists,broad,9540,2.6,25.13,52270.0,1.0,12.83,17.02,23.85,32.03,39.2,26690,35410,49600,66630,81540
418,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,9540,2.6,25.13,52270.0,1.0,12.83,17.02,23.85,32.03,39.2,26690,35410,49600,66630,81540
419,25-9020,Farm and Home Management Advisors,broad,8020,5.7,25.33,52700.0,1.6,13,17.84,23.96,31.37,39.12,27050,37110,49840,65250,81360
420,25-9021,Farm and Home Management Advisors,detailed,8020,5.7,25.33,52700.0,1.6,13,17.84,23.96,31.37,39.12,27050,37110,49840,65250,81360
421,25-9030,Instructional Coordinators,broad,163900,1.7,32.45,67490.0,0.5,17.48,23.69,30.98,39.83,49.13,36360,49280,64450,82860,102200
422,25-9031,Instructional Coordinators,detailed,163900,1.7,32.45,67490.0,0.5,17.48,23.69,30.98,39.83,49.13,36360,49280,64450,82860,102200
425,25-9090,"Miscellaneous Education, Training, and Library Workers",broad,106590,1.7,22.44,46680.0,1.5,9.88,13.48,20.23,28.3,38.29,20550,28030,42080,58860,79640
426,25-9099,"Education, Training, and Library Workers, All Other",detailed,106590,1.7,22.44,46680.0,1.5,9.88,13.48,20.23,28.3,38.29,20550,28030,42080,58860,79640
427,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1951170,0.5,28.74,59780.0,0.5,10.99,15.39,23.7,35.43,50.36,22850,32010,49290,73690,104740
428,27-1000,Art and Design Workers,minor,610180,0.8,26.55,55230.0,0.6,11.35,14.94,22.43,33.23,46.86,23610,31080,46660,69120,97460
429,27-1010,Artists and Related Workers,broad,90990,2.0,40.83,84930.0,0.9,16.67,25.38,36.34,50.46,69.48,34670,52800,75590,104950,144530
430,27-1011,Art Directors,detailed,40210,2.2,50.29,104590.0,0.8,25.08,32.66,44.6,60.82,82.97,52160,67930,92780,126500,172570
431,27-1012,Craft Artists,detailed,3980,8.3,19.47,40490.0,2.3,10.24,12.5,16.46,23.42,33.23,21310,25990,34240,48720,69110
432,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,11620,5.6,28.06,58370.0,5.4,9.63,15.26,23.74,33.74,46.98,20020,31750,49380,70190,97710
433,27-1014,Multimedia Artists and Animators,detailed,28560,3.9,37.61,78230.0,1.3,19.65,26.15,34.87,46.68,59.77,40870,54400,72520,97100,124310
434,27-1019,"Artists and Related Workers, All Other",detailed,6620,6.9,32.55,67700.0,3.6,13.79,18.57,31.44,45.16,52.84,28680,38620,65390,93940,109900
435,27-1020,Designers,broad,519180,0.9,24.05,50020.0,0.5,11.12,14.26,20.66,30.01,40.75,23140,29660,42960,62420,84770
436,27-1021,Commercial and Industrial Designers,detailed,33200,3.1,34.34,71430.0,0.9,18.57,24.84,32.01,42.13,51.94,38630,51670,66590,87620,108040
437,27-1022,Fashion Designers,detailed,19750,4.1,42.12,87610.0,2.6,17.51,24.38,34.96,48.45,74.75,36420,50710,72720,100780,155470
438,27-1023,Floral Designers,detailed,43360,2.3,13.9,28900.0,0.7,9.3,10.85,13.08,16.23,19.3,19350,22560,27200,33760,40140
439,27-1024,Graphic Designers,detailed,217810,0.9,26.29,54680.0,0.4,14.23,18.06,24.21,31.87,41.23,29610,37550,50370,66300,85760
440,27-1025,Interior Designers,detailed,57070,2.4,28.42,59120.0,1.2,14.41,19.27,25.66,34.34,45.25,29970,40080,53370,71430,94130
441,27-1026,Merchandise Displayers and Window Trimmers,detailed,128960,2.9,15.31,31850.0,0.8,9.96,11.3,13.68,17.56,23.18,20720,23500,28450,36520,48210
442,27-1027,Set and Exhibit Designers,detailed,10590,4.5,29.34,61020.0,1.8,14.33,19.06,26.09,35.98,49.75,29810,39650,54270,74830,103480
443,27-1029,"Designers, All Other",detailed,8450,5.1,32.99,68610.0,2.4,12.48,18.99,29.12,42.02,59.14,25960,39500,60570,87400,123020
444,27-2000,"Entertainers and Performers, Sports and Related Workers",minor,515310,1.2,28.8,59900.0,1.0,9.43,12.26,20.64,34.04,57.04,19610,25500,42940,70800,118630
445,27-2010,"Actors, Producers, and Directors",broad,166060,2.2,39.24,81610.0,1.4,11.51,18.51,29.4,48.28,77.27,23930,38490,61140,100430,160730
447,27-2012,Producers and Directors,detailed,118630,1.7,43.19,89840.0,1.2,16.56,23.33,34.46,53.05,78.62,34450,48520,71680,110350,163540
452,27-2030,Dancers and Choreographers,broad,14810,5.9,22.44,46670.0,2.6,9.53,11.54,18.17,28.96,43.41,19810,24000,37790,60240,90290
454,27-2032,Choreographers,detailed,5090,9.6,25.75,53560.0,3.6,10.26,14.89,22.98,33.06,46.93,21340,30970,47800,68760,97620
456,27-2041,Music Directors and Composers,detailed,12160,4.1,28.75,59790.0,2.8,10.41,14.88,23.86,33.54,54.24,21640,30950,49630,69770,112820
460,27-3000,Media and Communication Workers,minor,586190,0.7,31.72,65980.0,0.4,13.79,19.42,27.66,38.36,52.83,28680,40400,57530,79780,109890
461,27-3010,Announcers,broad,35260,2.8,23.54,48960.0,1.8,9.09,11.05,15.38,24.16,42.17,18900,22990,31990,50260,87720
462,27-3011,Radio and Television Announcers,detailed,27780,3.2,24.82,51630.0,2.0,9.19,11.28,15.97,25.07,45.41,19120,23470,33220,52140,94450
463,27-3012,Public Address System and Other Announcers,detailed,7480,6.2,18.77,39040.0,3.5,8.77,10.5,13.33,21.24,30.66,18250,21850,27720,44170,63760
464,27-3020,"News Analysts, Reporters and Correspondents",broad,43030,2.5,29.1,60530.0,1.5,11.46,14.61,20.91,34.86,54.21,23840,30380,43490,72520,112750
465,27-3021,Broadcast News Analysts,detailed,5890,8.9,44.23,91990.0,3.1,13.16,18.25,32.15,53.66,96.24,27370,37970,66880,111610,200180
466,27-3022,Reporters and Correspondents,detailed,37140,2.4,26.7,55530.0,1.5,11.3,14.3,19.84,32.06,48.53,23490,29730,41260,66680,100930
467,27-3030,Public Relations Specialists,broad,239030,1.0,32.9,68440.0,0.6,16.2,21.39,28.85,39.21,54,33690,44490,60000,81550,112310
468,27-3031,Public Relations Specialists,detailed,239030,1.0,32.9,68440.0,0.6,16.2,21.39,28.85,39.21,54,33690,44490,60000,81550,112310
469,27-3040,Writers and Editors,broad,191320,1.1,34.58,71920.0,0.6,16.18,22.23,30.53,41.49,56.55,33650,46230,63510,86300,117620
470,27-3041,Editors,detailed,95750,1.6,33.41,69480.0,0.8,15.15,20.52,28.6,39.5,56.64,31500,42690,59480,82160,117810
471,27-3042,Technical Writers,detailed,50350,1.9,36.3,75500.0,0.7,20.73,26.68,34.54,44.27,55.26,43110,55500,71850,92070,114930
472,27-3043,Writers and Authors,detailed,45210,2.1,35.14,73090.0,1.3,15.24,21.58,29.89,41.14,58.49,31700,44890,62170,85580,121670
473,27-3090,Miscellaneous Media and Communication Workers,broad,77560,3.1,26.2,54490.0,1.1,12.59,17.01,23.84,32.32,43.23,26190,35390,49580,67230,89920
474,27-3091,Interpreters and Translators,detailed,57140,3.9,26.55,55230.0,1.4,13.09,17.53,24,32.53,43.56,27230,36470,49930,67660,90610
475,27-3099,"Media and Communication Workers, All Other",detailed,20420,4.4,25.21,52430.0,2.2,11.38,15.31,23.24,31.7,42.42,23680,31840,48330,65930,88240
476,27-4000,Media and Communication Equipment Workers,minor,239490,1.5,26.91,55970.0,1.5,11.1,15,22.24,33.27,46.9,23080,31210,46270,69200,97560
477,27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad,121890,2.1,24.02,49960.0,0.8,11.48,15.16,20.98,29.75,40.44,23880,31540,43640,61890,84110
478,27-4011,Audio and Video Equipment Technicians,detailed,75940,2.2,23.53,48940.0,0.9,12.3,15.75,21.04,28.99,38.52,25590,32770,43770,60290,80130
479,27-4012,Broadcast Technicians,detailed,31580,4.4,22.48,46770.0,1.3,10.16,13.08,19.27,29.29,39.7,21130,27200,40080,60920,82580
480,27-4013,Radio Operators,detailed,870,7.6,21.49,44710.0,2.8,10.51,14.17,20.3,27.65,34.36,21850,29480,42220,57510,71470
481,27-4014,Sound Engineering Technicians,detailed,13510,5.7,30.53,63500.0,2.1,12.35,15.99,25.19,38.35,56.54,25680,33260,52390,79770,117600
482,27-4020,Photographers,broad,49560,1.9,20.56,42770.0,1.5,9.54,11.52,16.35,25.73,36.71,19850,23970,34000,53520,76360
483,27-4021,Photographers,detailed,49560,1.9,20.56,42770.0,1.5,9.54,11.52,16.35,25.73,36.71,19850,23970,34000,53520,76360
484,27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad,49240,2.8,36.58,76090.0,2.7,13.91,19.29,28.36,42.02,67.77,28930,40130,58990,87400,140970
485,27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,21080,3.3,29.69,61750.0,2.0,12.4,17.56,26.24,37.16,49.27,25790,36520,54570,77290,102470
486,27-4032,Film and Video Editors,detailed,28160,4.4,41.75,86830.0,3.7,15.36,20.78,30.12,48.09,81.75,31940,43230,62650,100020,170040
487,27-4090,Miscellaneous Media and Communication Equipment Workers,broad,18790,5.4,37.06,77080.0,1.6,15.27,24.66,38.26,47.01,56.39,31760,51300,79580,97780,117300
488,27-4099,"Media and Communication Equipment Workers, All Other",detailed,18790,5.4,37.06,77080.0,1.6,15.27,24.66,38.26,47.01,56.39,31760,51300,79580,97780,117300
489,29-0000,Healthcare Practitioners and Technical Occupations,major,8646730,0.3,39.42,82000.0,0.2,16.25,22.91,31.94,45.69,67.12,33800,47650,66440,95020,139620
490,29-1000,Health Diagnosing and Treating Practitioners,minor,5367930,0.4,49.02,101960.0,0.3,25,30.02,38.94,55.43,85.17,52000,62450,80990,115290,177160
491,29-1010,Chiropractors,broad,34740,2.6,41.28,85870.0,2.0,16.82,24.95,34.33,47.74,71.72,34990,51890,71410,99290,149170
492,29-1011,Chiropractors,detailed,34740,2.6,41.28,85870.0,2.0,16.82,24.95,34.33,47.74,71.72,34990,51890,71410,99290,149170
493,29-1020,Dentists,broad,128060,1.8,86.82,180590.0,1.1,35.02,52.2,75.12,#,#,72840,108580,156240,#,#
494,29-1021,"Dentists, General",detailed,113000,2.0,84.54,175840.0,1.2,35.01,51.65,73,#,#,72810,107440,151850,#,#
495,29-1022,Oral and Maxillofacial Surgeons,detailed,4830,9.1,116.52,242370.0,4.1,29.6,85.41,#,#,#,61570,177650,#,#,#
496,29-1023,Orthodontists,detailed,5350,9.0,108.54,225760.0,4.1,34.99,68.49,#,#,#,72780,142470,#,#,#
497,29-1024,Prosthodontists,detailed,380,28.3,92.02,191400.0,12.1,49.64,56.92,84.88,#,#,103240,118390,176540,#,#
498,29-1029,"Dentists, All Other Specialists",detailed,4490,10.8,85.96,178800.0,4.7,41.95,53.42,70.66,#,#,87250,111110,146970,#,#
499,29-1030,Dietitians and Nutritionists,broad,64670,1.2,29.43,61210.0,0.3,18.49,23.5,29.02,35.45,40.68,38460,48880,60370,73740,84610
500,29-1031,Dietitians and Nutritionists,detailed,64670,1.2,29.43,61210.0,0.3,18.49,23.5,29.02,35.45,40.68,38460,48880,60370,73740,84610
501,29-1040,Optometrists,broad,37220,2.5,57.68,119980.0,1.1,27.64,41.47,53.75,65.22,90.46,57480,86260,111790,135660,188160
502,29-1041,Optometrists,detailed,37220,2.5,57.68,119980.0,1.1,27.64,41.47,53.75,65.22,90.46,57480,86260,111790,135660,188160
503,29-1050,Pharmacists,broad,309550,1.1,59.45,123670.0,0.3,42.21,53.53,60.64,70.13,77.53,87790,111340,126120,145870,161250
504,29-1051,Pharmacists,detailed,309550,1.1,59.45,123670.0,0.3,42.21,53.53,60.64,70.13,77.53,87790,111340,126120,145870,161250
505,29-1060,Physicians and Surgeons,broad,679280,1.0,101.43,210980.0,0.7,30.08,59.1,#,#,#,62570,122930,#,#,#
506,29-1061,Anesthesiologists,detailed,31060,5.6,128.38,267020.0,1.8,63.98,#,#,#,#,133080,#,#,#,#
507,29-1062,Family and General Practitioners,detailed,114130,1.9,101.82,211780.0,1.0,38.27,68.73,96.68,#,#,79600,142960,201100,#,#
508,29-1063,"Internists, General",detailed,37820,3.2,94.47,196490.0,2.8,27.61,42.61,93.51,#,#,57420,88630,194500,#,#
509,29-1064,Obstetricians and Gynecologists,detailed,18590,4.0,114.58,238320.0,1.5,44.25,82.75,#,#,#,92040,172130,#,#,#
510,29-1065,"Pediatricians, General",detailed,28490,3.6,88.1,183240.0,1.5,33.11,60.91,82,#,#,68860,126690,170560,#,#
511,29-1066,Psychiatrists,detailed,25630,3.9,105.95,220380.0,1.8,36.34,72.07,#,#,#,75590,149900,#,#,#
512,29-1067,Surgeons,detailed,34390,3.8,122.65,255110.0,1.5,45.65,96.12,#,#,#,94960,199920,#,#,#
513,29-1069,"Physicians and Surgeons, All Other",detailed,389180,1.4,98.02,203880.0,0.9,28.98,53.58,96.58,#,#,60280,111440,200890,#,#
514,29-1070,Physician Assistants,broad,114710,1.4,52.13,108430.0,0.4,33.23,43.34,52.22,61.16,73,69120,90150,108610,127220,151850
515,29-1071,Physician Assistants,detailed,114710,1.4,52.13,108430.0,0.4,33.23,43.34,52.22,61.16,73,69120,90150,108610,127220,151850
516,29-1080,Podiatrists,broad,9500,3.8,71.26,148220.0,2.0,25.03,42.3,62.28,87.83,#,52060,87980,129550,182690,#
517,29-1081,Podiatrists,detailed,9500,3.8,71.26,148220.0,2.0,25.03,42.3,62.28,87.83,#,52060,87980,129550,182690,#
518,29-1120,Therapists,broad,687790,0.7,38.24,79530.0,0.2,22.86,29.04,37.23,46.49,56.22,47560,60410,77450,96690,116930
519,29-1122,Occupational Therapists,detailed,126900,1.3,41.04,85350.0,0.3,26.68,33.06,40.51,48.5,58.05,55490,68760,84270,100890,120750
520,29-1123,Physical Therapists,detailed,228600,1.0,42.73,88880.0,0.3,29.03,34.94,42.27,49.29,59.3,60390,72680,87930,102530,123350
521,29-1124,Radiation Therapists,detailed,18260,2.8,41.7,86730.0,0.6,27.09,32.45,39.58,49.22,59.77,56360,67490,82330,102380,124320
522,29-1125,Recreational Therapists,detailed,18840,2.5,24.34,50640.0,0.8,14.23,17.9,23.01,29.63,37.04,29590,37220,47860,61630,77050
523,29-1126,Respiratory Therapists,detailed,129600,1.1,30.05,62500.0,0.3,21.03,24.73,28.98,34.98,40.15,43750,51430,60280,72760,83520
524,29-1127,Speech-Language Pathologists,detailed,146900,1.3,38.8,80700.0,0.6,23.41,29.12,37.26,47.01,57.72,48690,60570,77510,97770,120060
525,29-1128,Exercise Physiologists,detailed,6740,4.2,26.33,54760.0,2.7,16.54,19.6,23.69,29.78,37.89,34410,40770,49270,61950,78810
526,29-1129,"Therapists, All Other",detailed,11950,5.3,27.73,57680.0,1.9,15.67,19.1,24.51,33.66,45.99,32600,39720,50980,70000,95650
527,29-1130,Veterinarians,broad,71060,1.4,50.59,105240.0,1.2,27.18,35.38,45.11,58.74,78.1,56540,73580,93830,122180,162450
528,29-1131,Veterinarians,detailed,71060,1.4,50.59,105240.0,1.2,27.18,35.38,45.11,58.74,78.1,56540,73580,93830,122180,162450
529,29-1140,Registered Nurses,broad,2951960,0.5,36.3,75510.0,0.3,24.42,28.25,34.48,42.47,51.22,50800,58770,71730,88350,106530
530,29-1141,Registered Nurses,detailed,2951960,0.5,36.3,75510.0,0.3,24.42,28.25,34.48,42.47,51.22,50800,58770,71730,88350,106530
531,29-1150,Nurse Anesthetists,broad,43520,3.7,84.03,174790.0,0.9,56.16,69.17,80.75,95.42,#,116820,143870,167950,198470,#
532,29-1151,Nurse Anesthetists,detailed,43520,3.7,84.03,174790.0,0.9,56.16,69.17,80.75,95.42,#,116820,143870,167950,198470,#
533,29-1160,Nurse Midwives,broad,6250,6.3,51.4,106910.0,1.2,33.7,41.86,49.89,59.73,72.63,70100,87070,103770,124240,151070
534,29-1161,Nurse Midwives,detailed,6250,6.3,51.4,106910.0,1.2,33.7,41.86,49.89,59.73,72.63,70100,87070,103770,124240,151070
535,29-1170,Nurse Practitioners,broad,179650,1.2,52.9,110030.0,0.4,37.64,43.64,51.46,60.31,72.27,78300,90760,107030,125440,150320
536,29-1171,Nurse Practitioners,detailed,179650,1.2,52.9,110030.0,0.4,37.64,43.64,51.46,60.31,72.27,78300,90760,107030,125440,150320
537,29-1180,Audiologists,broad,13300,4.5,39.52,82210.0,1.8,25.14,30.48,36.5,45.62,56.69,52300,63400,75920,94900,117910
538,29-1181,Audiologists,detailed,13300,4.5,39.52,82210.0,1.8,25.14,30.48,36.5,45.62,56.69,52300,63400,75920,94900,117910
539,29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,broad,36680,2.3,41.16,85600.0,4.4,19.67,27.01,35.56,52.7,67.95,40910,56180,73960,109610,141330
540,29-1199,"Health Diagnosing and Treating Practitioners, All Other",detailed,36680,2.3,41.16,85600.0,4.4,19.67,27.01,35.56,52.7,67.95,40910,56180,73960,109610,141330
541,29-2000,Health Technologists and Technicians,minor,3110180,0.3,23.26,48380.0,0.2,12.85,16.28,21.49,28.63,36.95,26740,33860,44700,59550,76860
542,29-2010,Clinical Laboratory Technologists and Technicians,detailed,321220,1.0,25.91,53880.0,0.3,14.38,18.42,25.16,32.17,38.62,29910,38310,52330,66920,80330
543,29-2010,Clinical Laboratory Technologists and Technicians,broad,321220,1.0,25.91,53880.0,0.3,14.38,18.42,25.16,32.17,38.62,29910,38310,52330,66920,80330
544,29-2020,Dental Hygienists,broad,215150,1.2,36.3,75500.0,0.5,24.97,30.04,35.97,43.08,48.95,51930,62490,74820,89610,101820
545,29-2021,Dental Hygienists,detailed,215150,1.2,36.3,75500.0,0.5,24.97,30.04,35.97,43.08,48.95,51930,62490,74820,89610,101820
546,29-2030,Diagnostic Related Technologists and Technicians,broad,390630,0.8,31.38,65260.0,0.2,19.32,24.53,30.6,37.61,45.63,40190,51010,63650,78220,94900
547,29-2031,Cardiovascular Technologists and Technicians,detailed,56560,1.5,28.24,58730.0,0.5,14.11,18.35,27.33,36.17,44.76,29340,38170,56850,75240,93100
548,29-2032,Diagnostic Medical Sonographers,detailed,71130,1.2,35.51,73860.0,0.3,24.73,28.87,34.86,41.44,48.31,51430,60060,72510,86190,100480
549,29-2033,Nuclear Medicine Technologists,detailed,18810,1.4,37.92,78870.0,0.4,26.6,31.6,36.93,44.27,50.35,55330,65720,76820,92080,104730
550,29-2034,Radiologic Technologists,detailed,205590,0.9,29.59,61540.0,0.3,19.53,23.27,28.62,35.19,41.51,40630,48400,59520,73200,86350
551,29-2035,Magnetic Resonance Imaging Technologists,detailed,38540,2.1,34.73,72230.0,0.4,24.15,28.59,34.46,40.13,47.68,50220,59460,71670,83460,99180
552,29-2040,Emergency Medical Technicians and Paramedics,broad,257210,1.1,18.15,37760.0,0.8,10.94,13.12,16.5,21.46,28.19,22760,27300,34320,44640,58640
553,29-2041,Emergency Medical Technicians and Paramedics,detailed,257210,1.1,18.15,37760.0,0.8,10.94,13.12,16.5,21.46,28.19,22760,27300,34320,44640,58640
554,29-2050,Health Practitioner Support Technologists and Technicians,broad,801590,0.6,17.76,36930.0,0.3,11.15,13.35,16.7,21.01,26.24,23190,27770,34730,43700,54570
555,29-2051,Dietetic Technicians,detailed,33540,2.7,14.49,30130.0,0.7,9.33,10.79,13.05,16.88,22.16,19410,22450,27140,35110,46100
556,29-2052,Pharmacy Technicians,detailed,417860,0.8,16.35,34020.0,0.3,10.93,12.86,15.72,18.89,23.08,22740,26750,32700,39290,48010
557,29-2053,Psychiatric Technicians,detailed,71360,1.5,18.15,37760.0,1.6,10.96,12.95,15.8,21,30.98,22800,26940,32870,43680,64430
558,29-2054,Respiratory Therapy Technicians,detailed,9090,3.3,24.7,51380.0,0.9,15.02,19.62,24.62,29.76,35.35,31240,40810,51210,61910,73530
559,29-2055,Surgical Technologists,detailed,110160,1.1,23.58,49040.0,0.3,15.8,18.7,22.74,27.9,33.25,32870,38910,47300,58040,69170
560,29-2056,Veterinary Technologists and Technicians,detailed,106680,1.8,17.1,35560.0,0.5,11.29,13.56,16.55,19.57,24.04,23490,28210,34420,40710,50010
561,29-2057,Ophthalmic Medical Technicians,detailed,52890,3.0,18.38,38220.0,0.7,11.91,14.2,17.56,21.89,26.36,24770,29530,36530,45530,54830
562,29-2060,Licensed Practical and Licensed Vocational Nurses,broad,701690,0.7,22.62,47050.0,0.2,16.19,18.98,22.23,26.02,29.88,33680,39470,46240,54110,62160
563,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,701690,0.7,22.62,47050.0,0.2,16.19,18.98,22.23,26.02,29.88,33680,39470,46240,54110,62160
564,29-2070,Medical Records and Health Information Technicians,broad,208650,1.0,21.16,44010.0,0.4,12.76,15.42,19.4,25.35,31.86,26550,32070,40350,52730,66260
565,29-2071,Medical Records and Health Information Technicians,detailed,208650,1.0,21.16,44010.0,0.4,12.76,15.42,19.4,25.35,31.86,26550,32070,40350,52730,66260
566,29-2080,"Opticians, Dispensing",broad,72250,2.2,19.2,39930.0,1.0,11.86,14.03,17.8,23.15,28.86,24670,29190,37010,48160,60030
567,29-2081,"Opticians, Dispensing",detailed,72250,2.2,19.2,39930.0,1.0,11.86,14.03,17.8,23.15,28.86,24670,29190,37010,48160,60030
568,29-2090,Miscellaneous Health Technologists and Technicians,broad,141790,1.5,23.82,49540.0,0.5,13.65,16.61,21.43,28.57,37.11,28400,34540,44560,59420,77200
569,29-2091,Orthotists and Prosthetists,detailed,8830,4.7,35.51,73860.0,2.0,19.27,25.38,33.23,42.31,52.3,40090,52790,69120,88010,108780
570,29-2092,Hearing Aid Specialists,detailed,7680,6.8,26.75,55650.0,2.2,13.66,18.45,25.37,32.25,42.59,28410,38380,52770,67090,88590
571,29-2099,"Health Technologists and Technicians, All Other",detailed,125270,1.6,22.81,47450.0,0.5,13.53,16.34,20.63,27.3,34.96,28130,33980,42920,56780,72720
572,29-9000,Other Healthcare Practitioners and Technical Occupations,minor,168630,0.9,32.01,66590.0,0.3,16.43,21.77,30.01,40.14,49.79,34170,45280,62420,83500,103570
573,29-9010,Occupational Health and Safety Specialists and Technicians,broad,106410,0.9,34.43,71610.0,0.3,18.75,24.96,33.35,42.33,50.71,39000,51920,69370,88060,105470
574,29-9011,Occupational Health and Safety Specialists,detailed,88390,1.0,36.03,74940.0,0.3,20.41,26.95,35.11,43.76,52.17,42450,56060,73020,91030,108520
575,29-9012,Occupational Health and Safety Technicians,detailed,18020,1.9,26.57,55270.0,0.7,15.43,18.94,24.41,31.88,40.58,32080,39390,50780,66300,84400
576,29-9090,Miscellaneous Health Practitioners and Technical Workers,broad,62210,1.7,27.89,58000.0,1.0,14.17,18.55,24.35,34.32,47.71,29470,38580,50650,71390,99240
578,29-9092,Genetic Counselors,detailed,2640,7.4,38.88,80860.0,1.6,25.36,32.71,38.64,46.18,51.66,52750,68030,80370,96060,107450
579,29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,32680,2.2,30.45,63340.0,1.5,13.7,17.82,26.26,40.79,53.72,28500,37070,54620,84850,111740
580,31-0000,Healthcare Support Occupations,major,4117450,0.4,15.57,32380.0,0.2,10.21,11.77,14.3,18.04,23.05,21240,24470,29740,37520,47950
581,31-1000,"Nursing, Psychiatric, and Home Health Aides",minor,2355640,0.6,13.55,28180.0,0.3,9.79,11.06,12.89,15.24,18.48,20360,23000,26810,31700,38440
582,31-1010,"Nursing, Psychiatric, and Home Health Aides",broad,2355640,0.6,13.55,28180.0,0.3,9.79,11.06,12.89,15.24,18.48,20360,23000,26810,31700,38440
583,31-1011,Home Health Aides,detailed,797670,1.4,12.18,25330.0,0.4,9.16,10.46,11.63,13.48,15.47,19060,21750,24200,28030,32180
584,31-1013,Psychiatric Aides,detailed,56910,2.0,14.95,31090.0,1.0,9.53,11.28,14.03,17.9,22.35,19830,23470,29180,37230,46490
585,31-1014,Nursing Assistants,detailed,1450960,0.5,14.22,29580.0,0.2,10.24,11.7,13.72,16.15,19.02,21290,24340,28540,33580,39560
586,31-1015,Orderlies,detailed,50100,2.2,14.35,29840.0,0.6,10.1,11.33,13.49,16.64,19.93,21010,23570,28060,34610,41460
587,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,191870,1.3,24.1,50130.0,0.5,11.24,14.8,24.86,31.13,37.33,23370,30790,51720,64740,77650
588,31-2010,Occupational Therapy Assistants and Aides,broad,50360,2.2,27.0,56150.0,1.0,13.25,20.89,27.7,33.5,38.42,27550,43450,57620,69670,79920
589,31-2011,Occupational Therapy Assistants,detailed,42660,2.2,29.04,60410.0,0.6,19.05,24.28,28.95,34.53,38.93,39620,50510,60220,71820,80980
590,31-2012,Occupational Therapy Aides,detailed,7700,6.0,15.66,32580.0,4.0,8.78,10.38,13.54,17.93,28.2,18260,21590,28160,37290,58660
